"location_name","year","gdp_pc","pct_change_gni"
"Democratic Republic of the Congo",2068,1252.51928720709,1.73731524230097
"Democratic Republic of the Congo",2069,1277.82185521802,1.73731524230103
"Democratic Republic of the Congo",2070,1303.6355690089,1.73731524230096
"Democratic Republic of the Congo",2071,1329.97075440943,1.73731524230104
"Democratic Republic of the Congo",2072,1356.83794584489,1.73731524230096
"Democratic Republic of the Congo",2073,1384.24789055011,1.73731524230097
"Democratic Republic of the Congo",2074,1412.21155286843,1.73731524230104
"Democratic Republic of the Congo",2075,1440.74011863764,1.73731524230105
"Democratic Republic of the Congo",2076,1469.84499966443,1.73731524230097
"Democratic Republic of the Congo",2077,1499.53783828928,1.73731524230096
"Democratic Republic of the Congo",2078,1529.83051204354,1.73731524230104
"Democratic Republic of the Congo",2079,1560.73513840064,1.73731524230103
"Democratic Republic of the Congo",2080,1592.26407962318,1.73731524230097
"Democratic Republic of the Congo",2081,1624.42994770804,1.73731524230097
"Democratic Republic of the Congo",2082,1657.24560943133,1.73731524230103
"Democratic Republic of the Congo",2083,1690.7241914953,1.73731524230096
"Democratic Republic of the Congo",2084,1724.87908577916,1.73731524230104
"Democratic Republic of the Congo",2085,1759.72395469602,1.73731524230096
"Democratic Republic of the Congo",2086,1795.27273665807,1.73731524230105
"Democratic Republic of the Congo",2087,1831.53965165206,1.73731524230096
"Democratic Republic of the Congo",2088,1868.53920692757,1.73731524230104
"Democratic Republic of the Congo",2089,1906.28620280004,1.73731524230096
"Democratic Republic of the Congo",2090,1944.79573857111,NA
"Djibouti",2019,3408.84625440837,-2.96786
"Djibouti",2020,3291.20697016874,4.16670000000001
"Djibouti",2021,3450.66594787342,2.67704300672373
"Djibouti",2022,3558.0796821094,2.6770430067236
"Djibouti",2023,3668.83703478796,2.67704300672376
"Djibouti",2024,3783.04208742503,2.6770430067236
"Djibouti",2025,3900.80216142831,1.73731524230096
"Djibouti",2026,3979.60359226843,1.73731524230096
"Djibouti",2027,4059.99691760754,1.73731524230112
"Djibouti",2028,4142.01429584772,1.73731524230097
"Djibouti",2029,4225.68853503382,1.73731524230095
"Djibouti",2030,4311.0531059772,1.73731524230097
"Djibouti",2031,4398.14215564444,1.73731524230112
"Djibouti",2032,4486.99052081663,1.73731524230097
"Djibouti",2033,4577.63374202448,1.73731524230096
"Djibouti",2034,4670.10807776506,1.73731524230095
"Djibouti",2035,4764.45051900569,1.73731524230112
"Djibouti",2036,4860.69880398078,1.73731524230096
"Djibouti",2037,4958.89143328764,1.73731524230097
"Djibouti",2038,5059.06768528725,1.73731524230095
"Djibouti",2039,5161.26763181611,1.73731524230112
"Djibouti",2040,5265.53215421552,1.73731524230096
"Djibouti",2041,5371.90295968464,1.73731524230096
"Djibouti",2042,5480.42259796397,1.73731524230097
"Djibouti",2043,5591.13447835575,1.73731524230112
"Djibouti",2044,5704.08288708834,1.73731524230096
"Djibouti",2045,5819.31300503121,1.73731524230097
"Djibouti",2046,5936.87092576796,1.73731524230096
"Djibouti",2047,6056.80367403436,1.73731524230112
"Djibouti",2048,6179.15922452884,1.73731524230096
"Djibouti",2049,6303.98652110301,1.73731524230096
"Djibouti",2050,6431.33549633989,1.73731524230097
"Djibouti",2051,6561.2570915276,1.73731524230096
"Djibouti",2052,6693.80327703651,1.73731524230113
"Djibouti",2053,6829.02707310814,1.73731524230096
"Djibouti",2054,6966.98257106392,1.73731524230096
"Djibouti",2055,7107.72495494246,1.73731524230096
"Djibouti",2056,7251.31052357391,1.73731524230112
"Djibouti",2057,7397.79671310023,1.73731524230096
"Djibouti",2058,7547.24211995038,1.73731524230096
"Djibouti",2059,7699.70652427974,1.73731524230096
"Djibouti",2060,7855.25091388295,1.73731524230112
"Djibouti",2061,8013.93750858979,1.73731524230096
"Djibouti",2062,8175.82978515398,1.73731524230097
"Djibouti",2063,8340.99250264475,1.73731524230096
"Djibouti",2064,8509.4917283513,1.73731524230112
"Djibouti",2065,8681.3948642106,1.73731524230095
"Djibouti",2066,8856.77067376904,1.73731524230097
"Djibouti",2067,9035.68930968885,1.73731524230096
"Djibouti",2068,9218.22234180999,1.73731524230112
"Djibouti",2069,9404.44278577915,1.73731524230096
"Djibouti",2070,9594.42513225684,1.73731524230096
"Djibouti",2071,9788.2453767148,1.73731524230097
"Djibouti",2072,9985.98104983514,1.73731524230111
"Djibouti",2073,10187.7112485236,1.73731524230096
"Djibouti",2074,10393.5166675494,1.73731524230096
"Djibouti",2075,10603.4796318243,1.73731524230097
"Djibouti",2076,10817.6841293336,1.73731524230096
"Djibouti",2077,11036.2158447323,1.73731524230112
"Djibouti",2078,11259.1621936204,1.73731524230096
"Djibouti",2079,11486.6123575102,1.73731524230097
"Djibouti",2080,11718.6573194997,1.73731524230111
