"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Belize","BLZ","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4673.52835504505","5109.43775788862","5589.9396319651","5817.12588307008","5637.75490233158","5569.68942516361","5448.13020892529","5477.91519152798","5404.23693027721","5619.05384991108","6080.36240700375","6083.84158523403","6221.74513899484","6524.3219845457","6532.81307004331","6538.80884648424","6679.60009095395","6382.41249475461","6480.80806694184","6698.21757550506","6523.96955380865","6707.72266925415","6627.288408126","6578.85561611664","6602.28004893009","6845.94151880191","6670.84518734359","6507.26211509562","6453.48491395781","6381.59768200292",
"Bermuda","BMU","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4352.07029360005","4514.82964393335","4546.35028928791","4640.81666337175","4782.44685842602","4901.67031994309","5023.82245781138","5183.96901615318","5367.62376386899","5262.32686461825","5275.52844818347","5267.71780619507","5296.91447078738","5276.03521991475","5355.29085704733","5518.28856877888","5702.8184758346","5847.3588955567","6132.99090169747","6198.72079799981","6301.07782815674","6481.285744214","6608.36498158477","6937.11852000248","7313.50045669373","7718.28558956232","8056.54385124828","8185.54211585471","8444.7682586446","8553.783786085",
"Brazil","BRA","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10250.8105181625","10257.9367380942","10071.0853369078","10312.3712851316","10541.4850998621","11084.1191505096","11016.2376817624","11157.1057382113","10886.3484690761","10694.2628081606","11275.7146116559","11236.5493102298","11411.5174699094","11420.1640693602","11958.960343927","12208.1924058343","12601.6840452212","13280.2760424975","13773.5470326526","13648.87930522","14409.4009301428","14920.9951184883","15083.4375639273","15579.0088265864","15449.7022913597","14775.2098523578","14138.9445747289","14248.3106158812","14181.8055296553","14262.9345882029",
"Barbados","BRB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15079.1583896086","","",
"Brunei Darussalam","BRN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71468.7697688775","71643.3303665587","72947.4962825223","71146.397900225","71413.5740250435","72688.3814675848","72937.4715217076","70174.4730911381","68211.285115508","68770.5872056393","69253.6210935521","69716.5928134634","71006.9487151085","71722.3372728929","70852.6732456354","70020.5265900559","72083.2825589828","71648.3833640739","69405.2659601359","67383.3471969137","67479.3490049225","67386.5350145821","67319.1374410405","66078.6613102989","64339.539095421","66410.368972146","65043.2392145166","64618.8559666447","60975.2923784779","63965.0927924769",
"Bhutan","BTN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4053.10972203639","4302.50512882679","4609.0198062892","4838.88068975246","5038.6379653434","5371.81415670794","5733.69858481043","6647.05177237584","6795.98246211396","7085.00298334343","7717.70103699577","8178.55511339977","8355.07621378201","8517.57528977899","8895.78493418949","9371.56455716143","9850.62925074047","10174.6413713744","10327.3785755211","",
"Botswana","BWA","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8866.07801894264","9636.91317567937","9736.99872497526","10047.083218657","9107.80771671443","9915.89745728396","9789.35615267892","10610.4136877089","10959.8107756603","10962.1293381217","10780.9833172937","11024.0518260016","10359.4140237568","11063.4715881718","11006.1200895392","11497.9557330779","12294.5985797801","13179.6373584392","13759.1607649801","13002.0817744557","13489.4593248498","14496.0819949296","15084.4089257896","16120.289920635","16818.0094728325","16237.1365933208","15623.1824474183","15981.3446446029","16310.6472369423","16437.141417634",
"Central African Republic","CAF","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1168.89709909369","1218.17950552822","1259.22201773598","1317.84400342094","839.122686670593","837.630211526857","869.826111858017","903.07703694822","959.309045449728","","",
"Canada","CAN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30821.6339510368","29902.9054678907","29733.29055573","30256.899410212","31212.3160188737","31758.8088207377","31973.4889115571","33095.9848309008","33649.7353558624","34680.4640178345","36323.0729637905","36358.1625690278","37330.2921004651","38436.6687583946","39696.001990825","41342.235117868","42852.3765794762","45437.7314350224","45392.6700126506","43471.7185246569","44189.5891933732","45168.5789547711","45526.6341482995","46216.9511285107","47026.0157029906","47042.2798706421","47128.3626533572","48068.8560268057","48291.6989015366","48527.0357257404",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13641.6477668875","14318.8797594218","14571.4975834317","15012.2713350292","15266.4858189299","15961.3492640593","16576.2966176487","17299.8200088047","17823.8496306552","18783.4870639661","19923.7462709878","21166.335957103","22406.1237478507","23641.5875083989","22993.524765285","23272.0781958916","24026.105911163","24397.4831752497","24884.976982434","25662.826789924","26610.2993260905","27474.7407659215","28900.6753642133","30303.6433597819","",
"Switzerland","CHE","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67888.1314507739","","",
"Channel Islands","CHI","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9130.47625357406","9691.75016976105","10688.7827104843","11279.0158756783","11546.4322037067","12443.8803931394","13169.845769198","13976.3802620691","14499.8668215661","14185.2637506764","14679.1013990995","15022.7530332349","15250.2272272349","15389.2062334828","15939.8086543566","16552.0417786009","16584.691542192","17399.4565120143","18659.4622939494","18341.9672443025","19073.9453102993","20264.4777366293","21468.0255920284","22055.5403668388","22501.4342374158","22949.3578991896","23002.5536629417","22685.2308363438","23221.9098676746","23261.2972568749",
"China","CHN","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2361.46566844224","2571.42043357882","2786.83041506616","2964.51596946572","3171.54523334023","3416.54226477572","3666.60834975188","3988.50443340239","4376.66431542611","4805.56867023698","5299.32911796918","5968.9709537945","6810.05127114617","7457.94783054323","8056.25366072628","8846.64351830602","9596.62964941332","10373.4664558486","11060.0911425968","11932.4200358263","12644.0005279661","13433.7214742486","14333.1332786676","15187.1541555233","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3512.25827310286","3539.71527776016","3526.93709603535","3291.92484407539","3575.98994759188","3756.86565804184","4056.73641593929","4322.11832253879","4512.52548666864","4686.90162354314","4866.04556645904","",
"Cameroon","CMR","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3100.52910808136","2834.51132656665","2700.52679657114","2419.85973125357","2388.52685586362","2400.36102379026","2437.11014591534","2494.30216613384","2571.28560729242","2618.46654603971","2588.99588910072","2609.83362418595","2673.95554319961","2788.79591251791","2935.08328926233","2901.69100276148","2963.72405579868","2996.25131872448","3037.12176081375","3054.69470970496","3055.78637313792","3094.84639815817","3132.00959677362","3199.62145282602","3335.04698690827","3410.45870767979","3464.64203566079","3487.38066128567","3526.41311396468","3580.90273722218",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","954.143966729716","910.536841232639","948.668840505537","868.922271301676","840.070878013971","758.142198910256","739.698035120193","682.749804329403","694.630089052814","716.587858693096","737.594362306712","748.505761361346","771.191071267038","787.431451406666","787.435066511164","803.112974167954","829.880381318816","847.512432444023","870.260807934208","875.341983122294","931.759217803053","979.899672806312","1038.99453088911","1029.88332056006","1056.30912861608","1062.54300416019",
"Congo, Rep.","COG","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3018.78838769401","3061.64874147345","3186.30248290618","2867.58513299281","2781.36708591631","2021.08857488713","2032.81007733715","2265.20741452228","2615.84481696786","2037.74773283935","1800.65871285031","2019.85157654933","2047.81321585225","1990.44197493873","1825.26298062985","1502.93298010915","1351.11197374049","1581.66731397107","1825.86984906312","2055.11024789586","2046.38997608367","2008.69082841269","2395.77966951836","2580.40798691467","3001.61350384676","3855.21131580197","3417.47259234783","3126.30386392938","2963.87101751162","2879.19098511686",
"Colombia","COL","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8012.76692172582","8058.37918267502","8256.74526064353","8611.94735789291","9030.66847627459","9336.61707543021","9323.04980156625","9471.03148174032","9411.86680791843","8881.43421649832","8946.61695037062","8931.30702672466","8997.39291143158","9147.74228257513","9491.39961285848","9909.70860390528","10426.8010436705","10945.5882734035","11113.8633358039","11160.2850010052","11461.2735000226","12050.2342846839","12468.7195165462","13031.8433376017","13563.813726363","14038.4641577242","14186.3496195343","14054.8770342705","14084.9839181755","14256.6708530627",
"Comoros","COM","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3055.16460605939","2807.82189180647","2988.0316346894","2976.90505607023","2733.41798780446","2757.0754545425","2643.48657976823","2676.24686637032","2635.63662764717","2621.93776187382","2835.23157962793","2833.31528737231","2819.70617017823","2809.28937453442","2793.38655566397","2807.42842933273","2815.05974445523","2781.4874589167","2813.14445828052","2835.59739203204","2874.55258146753","2921.40668221689","2940.21762433476","3004.9340746757","2999.1364479246","2970.81429119611","3003.52323016123","3048.99868700135","3084.81468280004","",
"Cabo Verde","CPV","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5895.29683458645","6177.3555262199","6028.90140984021","5928.35441476757","6119.93172435128","6087.47204925475","6106.10593420617","5971.0418323825","6035.18653407308","6251.47036754053","6414.02300697827","6703.0769919989","7019.16814424035",
"Costa Rica","CRI","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9114.95316601903","9278.06095119151","9895.51134885103","10344.2364069135","10681.4778637673","10801.5633638177","10725.2406811538","11048.4719224154","11424.2902164393","11415.3628300535","11507.1492888653","11696.7755808074","11893.2798101738","12217.1245180838","12624.0325108471","12998.1054387972","13870.222867706","14854.3332883258","15446.6602206881","14886.8347076594","15425.5491204729","15876.3675636945","16480.6315143847","16566.5244329476","16862.6944709266","17238.0821484045","17783.4644888939","18160.7455222031","18371.440258751","18486.3714110106",
"Caribbean small states","CSS","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25693.7701589105","","",
"Cayman Islands","CYM","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41638.5494394425","","",
"Cyprus","CYP","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25033.1231023958","24590.2370213033","26162.3593151328","25748.0669956361","26677.457342342","27159.8967163614","27124.2964782855","27265.2391175403","31122.8717559797","29569.5868597565","30069.6418078152","31381.6448826096","32901.0800411111","33708.4865270167","34344.5788318969","35692.1153602436","36635.1731134556","37334.9578172543","39674.067738014","38367.7693592698","37691.1729387666","38404.3316342169","35341.5375909073","32940.6048111806","32193.828451251","34159.5895805325","35071.9668005922","36615.7362164962","37458.8761899547","38206.8404942115",
"Czech Republic","CZE","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21047.7287470827","20996.4315652415","21602.5795455141","","","","","","","","","","27277.337243315","29067.0187022134","30497.8918092466","31895.9813547228","32467.9455804409","30523.6935610108","31046.0064113537","31495.6612897698","31661.6804702841","31555.5658777146","32087.682230806","33719.8856028323","34561.8388286806","36123.6270618233","37294.2380336301","",
"Germany","DEU","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37232.3775804196","38644.0885150578","39032.1304355068","38331.2297062262","38855.1107511433","39245.6256589593","39513.5508927924","40076.9498082543","40722.4650187639","41415.4628067059","42615.5981494807","43205.6633754599","42890.5641001338","42578.1327724931","43803.0784792313","44239.9537790325","46369.4560992728","47706.2769796209","48016.0605491073","45988.6371024876","47860.4392041127","50930.9780007794","50968.7414034625","51009.9954550099","51776.1445979467","52371.4455171911","53213.0292581209","54368.2854934805","55154.6495573688","",
"Djibouti","DJI","GNI per capita, PPP (constant 2017 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4092.15894554549","4398.32893473241","4700.18472796162","4949.90151636464","5103.07203990783","5341.20353953718","5689.34896617677",
